Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691297
,EXR.D.ARS.EUR.SP00.A,EXR.D.DZD.EUR.SP00.A,EXR.D.MAD.EUR.SP00.A,EXR.D.TWD.EUR.SP00.A
2020-09-10,88.51800,152.3722,10.8555,34.706
2020-09-09,87.88010,151.7657,10.8326,34.497
2020-09-08,87.89900,151.8138,10.8385,34.488
2020-09-07,88.00600,152.0921,10.8550,34.681
2020-09-04,88.00440,151.9548,10.8776,34.745
2020-09-03,87.71740,151.5826,10.8696,34.689
2020-09-02,88.06200,151.6678,10.8830,34.815
2020-09-01,88.86980,153.1603,10.9215,35.185
2020-08-31,88.30530,152.8165,10.9081,35.070
2020-08-28,88.04290,152.6031,10.9076,34.976
2020-08-27,87.14950,151.4243,10.8853,34.678
2020-08-26,86.96570,151.4120,10.8803,34.633
2020-08-25,87.03910,151.7863,10.9030,34.718
2020-08-24,87.12580,151.8294,10.9135,34.829
2020-08-21,86.48690,151.1887,10.8681,34.615
2020-08-20,87.00740,151.8382,10.8982,34.859
2020-08-19,87.51540,152.5992,10.9492,35.044
2020-08-18,87.02930,152.3968,10.9310,34.988
2020-08-17,86.65080,151.9318,10.9016,34.857
2020-08-14,86.28270,151.6258,10.9119,34.746
2020-08-13,86.38030,151.8351,10.9175,34.846
2020-08-12,85.86000,151.4516,10.8734,34.626
2020-08-11,85.90630,151.5294,10.9001,34.631
2020-08-10,85.52290,151.2957,10.8936,34.593
2020-08-07,85.84700,151.7941,10.9438,34.748
2020-08-06,85.94880,151.8924,10.9420,34.791
2020-08-05,85.95930,152.0038,10.9920,34.799
2020-08-04,85.23740,151.3097,10.9792,34.602
2020-08-03,84.79660,151.0074,10.9578,34.453
2020-07-31,85.54730,152.0596,11.0025,34.751
2020-07-30,84.71810,150.3515,10.9629,34.434
2020-07-29,84.49620,149.8572,10.9800,34.346
2020-07-28,84.38170,149.7648,10.9859,34.334
2020-07-27,84.48380,150.5615,10.9904,34.502
2020-07-24,83.33270,147.9834,10.9420,34.230
2020-07-23,82.97690,147.6638,10.9370,34.061
2020-07-22,83.03160,147.8974,10.9405,34.049
2020-07-21,81.92040,146.6557,10.9184,33.671
2020-07-20,81.77480,146.7863,10.9541,33.759
2020-07-17,81.54740,146.6555,10.9301,33.701
2020-07-16,81.37040,146.5329,10.9450,33.636
2020-07-15,81.51500,146.7235,10.9350,33.744
2020-07-14,80.96160,146.2143,10.9194,33.552
2020-07-13,80.28860,145.7702,10.9046,33.367
2020-07-10,79.92200,145.3307,10.8683,33.253
2020-07-09,80.41360,145.8751,10.9096,33.359
2020-07-08,79.97260,145.4314,10.8895,33.244
2020-07-07,79.87680,145.5055,10.8957,33.270
2020-07-06,79.93070,145.7471,10.9125,33.312
2020-07-03,79.21900,144.9299,10.8908,33.070
2020-07-02,79.58320,145.4540,10.9230,33.244
2020-07-01,78.91520,144.7712,10.8915,33.014
2020-06-30,78.78520,144.7892,10.8803,32.973
2020-06-29,79.17590,145.4479,10.9265,33.258
2020-06-26,78.59420,144.7245,10.8950,33.086
2020-06-25,78.44420,144.7384,10.8684,33.075
2020-06-24,78.99950,145.3492,10.8778,33.252
2020-06-23,79.12640,145.6822,10.8799,33.416
2020-06-22,78.22190,144.8604,10.8388,33.204
2020-06-19,78.11300,144.7547,10.8369,33.121
2020-06-18,78.11910,144.9377,10.8658,33.251
2020-06-17,78.14270,144.7485,10.8691,33.268
2020-06-16,78.38760,145.3310,10.9010,33.527
2020-06-15,78.01090,144.9409,10.8869,33.403
2020-06-12,78.35370,145.3011,10.9059,33.499
2020-06-11,78.52650,145.6221,10.9250,33.640
2020-06-10,78.60130,145.6034,10.9466,33.610
2020-06-09,77.94160,145.2726,10.9280,33.571
2020-06-08,77.84960,145.1035,10.9233,33.550
2020-06-05,77.99630,145.4027,10.9445,33.706
2020-06-04,77.36570,144.6313,10.9067,33.667
2020-06-03,76.86420,143.8882,10.8855,33.507
2020-06-02,76.62010,143.3904,10.8570,33.435
2020-06-01,76.12070,142.7645,10.8716,33.297
2020-05-29,76.16750,142.9473,10.8887,33.395
2020-05-28,75.23270,141.4427,10.8439,33.047
2020-05-27,74.96690,141.0596,10.8341,32.998
2020-05-26,74.76880,140.9656,10.8293,32.894
2020-05-25,74.37890,140.6097,10.7554,32.813
2020-05-22,74.19630,140.4163,10.7740,32.743
2020-05-21,74.72800,141.1080,10.7893,32.919
2020-05-20,74.41580,140.6788,10.7536,32.834
2020-05-19,74.25200,140.6418,10.7577,32.816
2020-05-18,73.30180,139.3808,10.7069,32.493
2020-05-15,72.97500,139.1166,10.6740,32.368
2020-05-14,72.82930,139.1116,10.6490,32.303
2020-05-13,73.29860,139.7492,10.6836,32.511
2020-05-12,73.08850,139.6355,10.6725,32.441
2020-05-11,72.76160,139.3265,10.6576,32.407
2020-05-08,72.68610,139.4572,10.6623,32.403
2020-05-07,72.29950,138.9875,10.6668,32.307
2020-05-06,72.34750,139.4273,10.7081,32.384
2020-05-05,72.56680,139.4627,10.7425,32.362
2020-05-04,73.06190,140.8484,10.7935,32.611
2020-04-30,72.52120,139.3923,10.7660,32.350
2020-04-29,72.18600,139.1300,10.7654,32.421
2020-04-28,72.29130,139.3996,10.7826,32.611
2020-04-27,72.02640,139.2474,10.7975,32.600
2020-04-24,71.56940,138.8610,10.7801,32.491
2020-04-23,71.27350,138.6518,10.7685,32.406
2020-04-22,71.81950,139.4127,10.8680,32.708
2020-04-21,71.43700,139.2191,10.8579,32.623
2020-04-20,71.46420,139.1383,10.8665,32.613
2020-04-17,71.35070,139.1492,11.0856,32.648
2020-04-16,71.38230,139.0833,11.1170,32.767
2020-04-15,71.32740,138.9037,11.1332,32.817
2020-04-14,71.59720,139.2411,11.1775,32.963
2020-04-09,70.70830,137.8794,11.1525,32.688
2020-04-08,70.65280,137.7791,11.1545,32.747
2020-04-07,70.67360,137.7497,11.1598,32.764
2020-04-06,69.94670,136.8299,11.1172,32.627
2020-04-03,69.66460,136.6621,11.1105,32.628
2020-04-02,70.30120,136.6522,11.1548,32.964
2020-04-01,70.33160,136.8148,11.1266,33.102
2020-03-31,70.54790,136.6432,11.1094,33.196
2020-03-30,71.06940,136.8900,11.0920,33.407
2020-03-27,70.64250,136.2174,10.9310,33.224
2020-03-26,70.51320,135.8734,10.8218,33.187
2020-03-25,69.23600,133.2067,10.6845,32.753
2020-03-24,69.14530,133.3147,10.6310,32.757
2020-03-23,68.68290,132.8897,10.5780,32.614
2020-03-20,68.25650,132.1565,10.5335,32.373
2020-03-19,68.40220,132.5661,10.5495,32.852
2020-03-18,68.98640,132.6294,10.5890,33.147
2020-03-17,69.14540,133.0085,10.6110,33.234
2020-03-16,70.08550,134.3191,10.6705,33.741
2020-03-13,69.57660,133.8532,10.6515,33.393
2020-03-12,70.33430,134.7957,10.7016,33.871
2020-03-11,70.90270,135.4765,10.7358,34.063
2020-03-10,71.13230,135.8713,10.7565,34.154
2020-03-09,71.60570,136.3264,10.7679,34.380
2020-03-06,70.68170,134.6722,10.7363,33.971
2020-03-05,69.63290,133.4050,10.6630,33.480
2020-03-04,69.24760,132.8530,10.6409,33.260
2020-03-03,69.11440,132.9664,10.6320,33.303
2020-03-02,69.11210,132.9858,10.6293,33.342
2020-02-28,68.26310,131.8996,10.5661,33.148
2020-02-27,68.11930,131.8366,10.5451,33.148
2020-02-26,67.16130,131.1525,10.5141,32.993
2020-02-25,66.92620,130.8876,10.5208,32.914
2020-02-24,66.82870,130.7409,10.5207,32.962
2020-02-21,66.76020,130.6111,10.5155,32.898
2020-02-20,66.62290,130.7968,10.5049,32.758
2020-02-19,66.65170,130.5666,10.5134,32.544
2020-02-18,66.64820,130.6627,10.5238,32.599
2020-02-17,66.59140,130.8001,10.5349,32.522
2020-02-14,66.59700,131.1055,10.5346,32.564
2020-02-13,66.63640,131.1104,10.5479,32.595
2020-02-12,66.76640,131.4591,10.5672,32.737
2020-02-11,66.40340,131.3680,10.5627,32.718
2020-02-10,66.47910,131.7460,10.5866,32.966
2020-02-07,66.49790,131.8200,10.5840,33.078
2020-02-06,66.63580,132.1634,10.6082,33.047
2020-02-05,66.78010,132.2930,10.6116,33.045
2020-02-04,66.91220,132.4588,10.6247,33.317
2020-02-03,66.70640,132.4938,10.6313,33.509
2020-01-31,66.63800,132.4118,10.6209,33.502
2020-01-30,66.44420,132.4478,10.6209,33.458
2020-01-29,66.25900,132.1975,10.6157,33.111
2020-01-28,66.13010,132.1274,10.6294,33.133
2020-01-27,66.29330,132.1732,10.6254,33.238
2020-01-24,66.32040,132.2159,10.6395,33.148
2020-01-23,66.63200,132.7033,10.6606,33.317
2020-01-22,66.63330,132.6347,10.6557,33.256
2020-01-21,66.69560,132.8720,10.6602,33.368
2020-01-20,66.51550,132.7152,10.6573,33.192
2020-01-17,66.52580,132.8628,10.6730,33.272
2020-01-16,66.88780,133.2612,10.6856,33.395
2020-01-15,66.82920,133.1079,10.6733,33.359
2020-01-14,66.55110,132.9132,10.6563,33.251
2020-01-13,66.46170,132.9724,10.6609,33.283
2020-01-10,66.34640,132.7094,10.6535,33.239
2020-01-09,66.46560,132.8478,10.6705,33.284
2020-01-08,66.42820,132.9893,10.6760,33.392
2020-01-07,66.73760,133.4354,10.7090,33.572
2020-01-06,66.87740,133.4157,10.7185,33.670
2020-01-03,66.75100,133.0562,10.7169,33.493
2020-01-02,66.88550,133.4094,10.7241,33.614
2019-12-31,67.26920,133.6913,10.7465,33.605
2019-12-30,67.02770,133.4009,10.7370,33.626
2019-12-27,66.81200,133.1428,10.7060,33.582
2019-12-24,66.41630,132.6664,10.6791,33.380
2019-12-23,66.24650,132.6176,10.6745,33.367
2019-12-20,66.29630,132.7812,10.6863,33.491
2019-12-19,66.59360,132.8960,10.7008,33.531
2019-12-18,66.41270,132.9132,10.6932,33.516
2019-12-17,66.67230,133.2241,10.7138,33.627
2019-12-16,66.63360,133.2410,10.7041,33.581
2019-12-13,66.86520,133.2740,10.6947,33.752
2019-12-12,66.52130,133.0537,10.6950,33.767
2019-12-11,66.16760,132.5921,10.6905,33.720
2019-12-10,66.70020,132.6305,10.6862,33.744
2019-12-09,66.34810,132.5949,10.6811,33.764
2019-12-06,66.51960,132.7297,10.6847,33.810
2019-12-05,66.49190,132.8895,10.6785,33.832
2019-12-04,66.31150,132.8501,10.6653,33.772
2019-12-03,66.21230,132.7579,10.6602,33.800
2019-12-02,65.96270,132.4083,10.6444,33.631
2019-11-29,65.64490,132.1135,10.6344,33.520
2019-11-28,65.93100,132.2966,10.6292,33.555
2019-11-27,65.93840,132.3282,10.6201,33.607
2019-11-26,65.73650,132.4218,10.6210,33.640
2019-11-25,65.81680,132.1494,10.6320,33.602
2019-11-22,66.20420,132.6848,10.6510,33.781
2019-11-21,66.37410,132.9201,10.6675,33.842
2019-11-20,66.02220,132.6693,10.6631,33.768
2019-11-19,66.18510,132.7800,10.6727,33.801
2019-11-18,65.93240,132.6822,10.6701,33.733
2019-11-15,65.76100,132.5018,10.6643,33.670
2019-11-14,65.62460,132.2224,10.6564,33.603
2019-11-13,65.78840,132.2976,10.6620,33.585
2019-11-12,65.71880,132.3617,10.6698,33.526
2019-11-11,65.69670,132.6592,10.6781,33.597
2019-11-08,65.84540,132.3219,10.6617,33.503
2019-11-07,66.21280,132.8532,10.6867,33.609
2019-11-06,66.16290,132.8970,10.6996,33.695
2019-11-05,66.34850,132.8370,10.7066,33.735
2019-11-04,66.55910,133.3660,10.7249,33.937
2019-11-01,66.42240,133.2169,10.7168,33.942
2019-10-31,66.51130,133.3405,10.7319,33.942
2019-10-30,65.96960,132.9777,10.7133,33.817
2019-10-29,66.05240,132.9015,10.6922,33.853
2019-10-28,65.55190,132.6837,10.6930,33.884
2019-10-25,66.11610,132.8208,10.7033,33.987
2019-10-24,65.55170,132.9852,10.7102,34.048
2019-10-23,65.17300,132.9477,10.7010,34.035
2019-10-22,65.01030,133.0536,10.7032,34.036
2019-10-21,65.12800,133.2995,10.7158,34.133
2019-10-18,64.91100,133.1541,10.7001,34.058
2019-10-17,64.17760,132.9504,10.6867,34.036
2019-10-16,64.24820,132.3276,10.6515,33.789
2019-10-15,63.79490,132.1941,10.6516,33.699
2019-10-14,64.01840,132.3996,10.6625,33.744
2019-10-11,63.95330,132.4829,10.6705,33.883
2019-10-10,63.69830,132.4427,10.6661,33.852
2019-10-09,63.52230,132.0575,10.6510,33.830
2019-10-08,63.53750,132.1402,10.6407,33.851
2019-10-07,63.40210,132.1029,10.6259,33.953
2019-10-04,63.31590,132.2101,10.6455,33.911
2019-10-03,63.32420,131.8600,10.6239,33.949
2019-10-02,62.97720,131.6097,10.6360,33.948
2019-10-01,62.76430,131.4626,10.6259,33.866
2019-09-30,62.42120,131.3649,10.6290,33.809
2019-09-27,62.51540,131.9520,10.6523,33.913
2019-09-26,62.34060,131.7537,10.6515,33.957
2019-09-25,62.45460,132.0366,10.6745,34.124
2019-09-24,62.63460,132.3551,10.6776,34.119
2019-09-23,62.24650,132.2155,10.6690,34.062
2019-09-20,62.33830,132.3214,10.6925,34.142
2019-09-19,62.47820,132.6225,10.7110,34.302
2019-09-18,62.44120,132.7244,10.6996,34.208
2019-09-17,62.04330,132.5325,10.6820,34.154
2019-09-16,61.84360,132.4823,10.6780,34.105
2019-09-13,62.24860,133.0671,10.6970,34.281
2019-09-12,61.58470,131.6728,10.6412,34.025
2019-09-11,61.59370,132.3386,10.6365,34.254
2019-09-10,61.84060,132.4248,10.6595,34.466
2019-09-09,61.31480,132.5725,10.6818,34.427
2019-09-06,61.77330,132.5464,10.6683,34.466
2019-09-05,61.84910,132.7513,10.6770,34.551
2019-09-04,61.50520,132.4915,10.6614,34.481
2019-09-03,63.70800,131.9330,10.6129,34.334
2019-09-02,65.25960,132.1534,10.6005,34.405
2019-08-30,63.87640,132.6417,10.6283,34.580
2019-08-29,64.16220,132.8917,10.6360,34.753
2019-08-28,62.37240,132.9738,10.6478,34.830
2019-08-27,61.41070,133.1460,10.6380,34.828
2019-08-26,61.29920,133.2086,10.6452,34.907
2019-08-23,61.49260,132.8519,10.6404,34.725
2019-08-22,60.77860,132.9960,10.6533,34.748
2019-08-21,60.89380,133.1481,10.6634,34.810
2019-08-20,60.74020,132.9563,10.6529,34.743
2019-08-19,60.88550,133.1472,10.6675,34.795
2019-08-16,63.37960,132.8522,10.6644,34.663
2019-08-15,67.19990,133.4878,10.6808,34.930
2019-08-14,62.27070,133.7917,10.6810,35.185
2019-08-13,59.39800,134.0019,10.6874,35.344
2019-08-12,50.65290,133.7062,10.6874,35.216
2019-08-09,50.58300,133.8329,10.7015,35.107
2019-08-08,50.93540,133.8011,10.7113,35.097
2019-08-07,50.69690,133.8807,10.7120,35.299
2019-08-06,50.78230,133.7462,10.6928,35.194
2019-08-05,49.86000,133.7367,10.7000,35.368
2019-08-02,49.20010,133.3096,10.6855,34.953
2019-08-01,48.36410,132.6868,10.6719,34.412
2019-07-31,48.94290,133.5109,10.7165,34.658
2019-07-30,48.81720,133.5468,10.7103,34.669
2019-07-29,48.11750,133.2920,10.6917,34.584
2019-07-26,48.26650,133.3087,10.6956,34.630
2019-07-25,47.66670,133.2092,10.6881,34.522
2019-07-24,47.47310,133.3737,10.7109,34.599
2019-07-23,47.36850,133.5266,10.7560,34.730
2019-07-22,47.53810,133.9127,10.7677,34.845
2019-07-19,47.56400,133.9773,10.7674,34.841
2019-07-18,47.67360,133.9466,10.7515,34.849
2019-07-17,47.84260,133.8634,10.7321,34.858
2019-07-16,47.56250,133.9521,10.7368,34.868
2019-07-15,46.85140,134.2701,10.7626,35.018
2019-07-12,46.93060,134.1808,10.7760,34.981
2019-07-11,47.22210,134.5286,10.7841,35.002
2019-07-10,46.90520,133.9724,10.7466,34.898
2019-07-09,46.84310,133.6874,10.7691,34.940
2019-07-08,46.88490,133.9688,10.7715,34.978
2019-07-05,47.01050,134.0616,10.7890,35.034
2019-07-04,47.45190,134.4796,10.7996,35.071
2019-07-03,47.61130,134.2964,10.8175,35.113
2019-07-02,47.85630,134.3604,10.8768,35.060
2019-07-01,48.20320,134.7409,10.8961,35.142
2019-06-28,48.59260,135.1455,10.8912,35.287
2019-06-27,48.52720,135.0813,10.8900,35.262
2019-06-26,48.15100,135.0317,10.8730,35.296
2019-06-25,48.31760,135.2154,10.8352,35.359
2019-06-24,48.75610,135.2753,10.8358,35.367
2019-06-21,49.02940,134.7566,10.7976,35.084
2019-06-20,49.00450,134.6833,10.7808,35.054
2019-06-19,48.74710,133.9524,10.7355,35.114
2019-06-18,49.19710,133.8804,10.7852,35.215
2019-06-17,49.40600,134.2407,10.8327,35.401
2019-06-14,49.02080,134.4309,10.8639,35.476
2019-06-13,49.29120,134.5334,10.8636,35.532
2019-06-12,50.59570,134.8399,10.8731,35.550
2019-06-11,50.79450,134.8269,10.8799,35.533
2019-06-10,50.70190,134.6853,10.8858,35.524
2019-06-07,50.60790,134.4925,10.8610,35.447
2019-06-06,50.58100,134.4653,10.8761,35.307
2019-06-05,50.31260,134.1375,10.8693,35.285
2019-06-04,50.45750,134.1109,10.8706,35.344
2019-06-03,50.04170,133.8789,10.8498,35.202
2019-05-31,49.68330,133.4425,10.8407,35.271
2019-05-30,49.47110,133.3409,10.8301,35.210
2019-05-29,49.83610,133.6935,10.8407,35.246
2019-05-28,50.08420,133.7198,10.8439,35.287
2019-05-27,50.20060,133.9157,10.8502,35.225
2019-05-24,50.42650,133.7201,10.8459,35.245
2019-05-23,49.98070,133.3511,10.8144,35.153
2019-05-22,50.03100,133.7727,10.8152,35.130
2019-05-21,50.43270,133.5715,10.8121,35.127
2019-05-20,50.25430,133.7248,10.8067,35.092
2019-05-17,49.99690,133.5624,10.7983,34.988
2019-05-16,50.40230,133.9655,10.7939,34.905
2019-05-15,50.25640,133.7934,10.8021,34.831
2019-05-14,50.66860,133.9380,10.8065,34.968
2019-05-13,50.39670,134.2484,10.8328,35.007
2019-05-10,50.81580,134.1648,10.8267,34.841
2019-05-09,50.44690,133.6814,10.8182,34.728
2019-05-08,50.72830,133.9535,10.8324,34.658
2019-05-07,49.94550,133.6780,10.8257,34.599
2019-05-06,49.81880,133.9176,10.8211,34.643
2019-05-03,49.93370,133.4316,10.8054,34.480
2019-05-02,49.60130,134.0395,10.8266,34.652
